Year,Season,ProvinceName,DistrictName,CropName,Avg_Area_ha,Total_Production_Kg,Avg_Yield_Kg_per_Ha,Num_Observations
2020,SeasonC,Kigali City,Gasabo,Beans,0.08520463854074478,93490.0,9130.754484231336,136
2020,SeasonC,Kigali City,Kicukiro,Beans,0.05143626779317856,34905.0,8428.702837555651,94
2020,SeasonC,Kigali City,Nyarugenge,Beans,0.09041637182235718,37296.0,8273.138995914893,61
2020,SeasonC,Northern Province,Burera,Beans,0.08566799759864807,13091.0,9718.342762235628,25
2020,SeasonC,Northern Province,Gakenke,Beans,0.014339286834001541,5065.0,11329.03493612765,38
2020,SeasonC,Northern Province,Gicumbi,Beans,0.06524088978767395,34107.0,10132.419443832412,37
2020,SeasonC,Northern Province,Musanze,Beans,0.041243091225624084,7615.0,17615.639475688797,8
2020,SeasonC,Northern Province,Rulindo,Beans,0.05289623141288757,10967.0,12289.847831711455,20
2020,SeasonC,Southern Province,Gisagara,Beans,0.04501602053642273,47315.0,7989.101968684254,110
2020,SeasonC,Southern Province,Huye,Beans,0.029330985620617867,18065.0,10005.055984559836,73
2020,SeasonC,Southern Province,Kamonyi,Beans,0.04855570197105408,32219.0,9906.73427563451,63
2020,SeasonC,Southern Province,Muhanga,Beans,0.020945001393556595,7185.0,8436.39220025937,46
2020,SeasonC,Southern Province,Nyamagabe,Beans,0.0256890170276165,11987.0,11306.467505333816,46
2020,SeasonC,Southern Province,Nyanza,Beans,0.09456048160791397,88759.0,9793.427050603525,103
2020,SeasonC,Southern Province,Nyaruguru,Beans,0.016211919486522675,2254.0,7815.321521058434,16
2020,SeasonC,Southern Province,Ruhango,Beans,0.06869414448738098,32939.0,9156.859158234227,46
2020,SeasonC,Western Province,Karongi,Beans,0.020638030022382736,9524.0,10414.70041381957,44
2020,SeasonC,Western Province,Ngororero,Beans,0.0928940549492836,17605.0,7722.715129322071,36
2020,SeasonC,Western Province,Nyabihu,Beans,0.11205453425645828,47936.0,8346.953426848066,49
2020,SeasonC,Western Province,Nyamasheke,Beans,0.0914367064833641,2535.0,9882.411223196455,3
2020,SeasonC,Western Province,Rubavu,Beans,0.2363072782754898,101140.0,16305.763239190532,27
2020,SeasonC,Western Province,Rutsiro,Beans,0.029515013098716736,28011.0,10497.538918026037,113
2021,SeasonA,Eastern Province,Bugesera,Beans,0.7830974459648132,130307.92,2746.5794453816598,76
2021,SeasonA,Eastern Province,Bugesera,Cassava,0.41156888008117676,2830.69,904.3168527270047,9
2021,SeasonA,Eastern Province,Bugesera,Irish potatoes,6.132699012756348,2686049.72,23230.454301492868,20
2021,SeasonA,Eastern Province,Gatsibo,Beans,2.278693199157715,307471.35,5475.3572332918575,43
2021,SeasonA,Eastern Province,Gatsibo,Cassava,0.26587632298469543,100.0,376.11472461109776,1
2021,SeasonA,Eastern Province,Gatsibo,Irish potatoes,3.613595485687256,118273.56,3322.3760724498093,7
2021,SeasonA,Eastern Province,Kayonza,Beans,0.19295984506607056,8788.38,1919.4457614913092,36
2021,SeasonA,Eastern Province,Kayonza,Cassava,0.11351675540208817,258.0,378.22417913181994,6
2021,SeasonA,Eastern Province,Kayonza,Irish potatoes,0.8439416289329529,40730.91,19603.139192655115,6
2021,SeasonA,Eastern Province,Kirehe,Beans,2.807077646255493,483383.8,3798.549457211776,74
2021,SeasonA,Eastern Province,Kirehe,Cassava,0.20177318155765533,880.0,1126.380534881204,6
2021,SeasonA,Eastern Province,Kirehe,Irish potatoes,4.0356125831604,324757.82,20226.874916421955,8
2021,SeasonA,Eastern Province,Ngoma,Beans,4.85368013381958,453480.3,6094.295095643172,14
2021,SeasonA,Eastern Province,Ngoma,Cassava,0.28020158410072327,3584.71,1609.9881278000632,6
2021,SeasonA,Eastern Province,Ngoma,Irish potatoes,0.1444699466228485,2206.9,15275.84145760991,1
2021,SeasonA,Eastern Province,Nyagatare,Beans,1.9700065851211548,408993.94,3640.2600518705976,30
2021,SeasonA,Eastern Province,Nyagatare,Cassava,0.23193497955799103,2277.41,1225.2378611962058,8
2021,SeasonA,Eastern Province,Nyagatare,Irish potatoes,0.7907376289367676,102333.37,18551.394125558705,7
2021,SeasonA,Eastern Province,Rwamagana,Beans,0.7687053084373474,123473.22,3662.823222782584,75
2021,SeasonA,Eastern Province,Rwamagana,Cassava,0.052653923630714417,50.0,949.5968496226877,1
2021,SeasonA,Eastern Province,Rwamagana,Irish potatoes,11.259333610534668,2477100.06,7992.366634647852,31
2021,SeasonA,Kigali City,Gasabo,Beans,0.3928196132183075,29516.47,3946.1480848730134,47
2021,SeasonA,Kigali City,Gasabo,Cassava,0.15834888815879822,586.15,884.7460502033773,4
2021,SeasonA,Kigali City,Gasabo,Irish potatoes,3.804227590560913,819854.32,6566.191382790533,34
2021,SeasonA,Kigali City,Kicukiro,Beans,0.5257603526115417,29658.24,2965.9077880065674,19
2021,SeasonA,Kigali City,Kicukiro,Cassava,0.21915626525878906,265.0,646.0774102615305,3
2021,SeasonA,Kigali City,Kicukiro,Irish potatoes,0.6252471208572388,30942.6,20159.293901298028,4
2021,SeasonA,Kigali City,Nyarugenge,Beans,0.1469150334596634,13547.41,3297.8432890607,41
2021,SeasonA,Kigali City,Nyarugenge,Cassava,0.125240296125412,517.5,1052.8813468403355,5
2021,SeasonA,Kigali City,Nyarugenge,Irish potatoes,0.2243380844593048,14934.18,26814.22416931622,2
2021,SeasonA,Northern Province,Burera,Beans,0.12073417007923126,19249.24,3823.8944925404157,61
2021,SeasonA,Northern Province,Burera,Cassava,0.02256007492542267,90.0,3989.348452853768,1
2021,SeasonA,Northern Province,Burera,Irish potatoes,1.8294029235839844,67658.52,13084.123090512148,5
2021,SeasonA,Northern Province,Gakenke,Beans,0.12795057892799377,11674.42,2912.513567584872,36
2021,SeasonA,Northern Province,Gakenke,Cassava,0.059093374758958817,4791.6,2635.9420182666904,38
2021,SeasonA,Northern Province,Gakenke,Irish potatoes,0.11301340907812119,5363.38,15742.252150730352,3
2021,SeasonA,Northern Province,Gicumbi,Beans,0.08244773745536804,9026.94,2914.8446538409253,38
2021,SeasonA,Northern Province,Gicumbi,Cassava,0.02838839963078499,57.69,493.2915379135803,4
2021,SeasonA,Northern Province,Gicumbi,Irish potatoes,0.052885521203279495,1020.6800000000001,6298.623197368909,3
2021,SeasonA,Northern Province,Musanze,Beans,0.1372528225183487,4689.41,2610.7592366772637,13
2021,SeasonA,Northern Province,Musanze,Cassava,0.04619704186916351,95.0,927.4155852720924,2
2021,SeasonA,Northern Province,Musanze,Irish potatoes,0.09349656105041504,3700.0,14229.872574145937,3
2021,SeasonA,Northern Province,Rulindo,Beans,0.2048245668411255,31482.64,2461.771705065664,37
2021,SeasonA,Northern Province,Rulindo,Cassava,0.08067861199378967,250.03,761.0784777276207,6
2021,SeasonA,Northern Province,Rulindo,Irish potatoes,0.5853065848350525,84785.84,10511.702245005685,11
2021,SeasonA,Southern Province,Gisagara,Beans,0.3743287920951843,11044.21,2212.6323665557343,22
2021,SeasonA,Southern Province,Gisagara,Cassava,0.14898520708084106,4484.34,944.3556159567543,40
2021,SeasonA,Southern Province,Gisagara,Irish potatoes,0.17569652199745178,1800.0,10244.938144114807,1
2021,SeasonA,Southern Province,Huye,Beans,0.17411048710346222,51999.09,6001.024132377367,21
2021,SeasonA,Southern Province,Huye,Cassava,0.11578483879566193,1876.37,1085.8113357082923,14
2021,SeasonA,Southern Province,Huye,Irish potatoes,0.029987402260303497,560.0,11416.05556842391,2
2021,SeasonA,Southern Province,Kamonyi,Beans,0.17714384198188782,34226.9,5065.643770672695,34
