Year,ProvinceName,DistrictName,CropName,Total_Weighted_Consumption_Qty_Kg,Total_Weighted_Consumption_Value_Rwf,Num_Households_Observed
2020,Eastern Province,Kayonza,Tomatoes,155728.70388042027,68355104.30244899,486
2020,Eastern Province,Kirehe,Beans,342788.5350170348,198785804.0698775,485
2020,Eastern Province,Kirehe,Cassava,375787.3686989999,162564875.92956337,485
2020,Eastern Province,Kirehe,Irish potatoes,468146.99276558956,160161229.71929687,485
2020,Eastern Province,Kirehe,Maize,347136.6552022676,160905631.33408472,485
2020,Eastern Province,Kirehe,Tomatoes,108629.14007161671,65593128.94880933,485
2020,Eastern Province,Ngoma,Beans,363961.36894086964,231968416.38876513,486
2020,Eastern Province,Ngoma,Cassava,290769.28693038353,115100474.80030926,486
2020,Eastern Province,Ngoma,Irish potatoes,321416.1371209748,110781785.1378704,486
2020,Eastern Province,Ngoma,Maize,299906.77062647,126853333.70577538,486
2020,Eastern Province,Ngoma,Tomatoes,94467.37844727963,53150501.7822119,486
2020,Eastern Province,Nyagatare,Beans,276250.9884661616,167548269.391521,486
2020,Eastern Province,Nyagatare,Cassava,333365.9856401185,150603463.32273757,486
2020,Eastern Province,Nyagatare,Irish potatoes,249330.533050094,96940299.70771123,486
2020,Eastern Province,Nyagatare,Maize,244284.61487630295,116792333.55716142,486
2020,Eastern Province,Nyagatare,Tomatoes,94634.03593302814,51418853.91241975,486
2020,Eastern Province,Rwamagana,Beans,356670.7726092221,213089547.38155714,486
2020,Eastern Province,Rwamagana,Cassava,435934.7948793998,201508756.4250672,486
2020,Eastern Province,Rwamagana,Irish potatoes,274492.09321338823,143615939.50951254,486
2020,Eastern Province,Rwamagana,Maize,388685.05768531194,201888614.41481394,486
2020,Eastern Province,Rwamagana,Tomatoes,183910.37281029078,93035211.09928918,486
2020,Kigali City,Gasabo,Beans,561076.2958975692,350377248.74334246,644
2020,Kigali City,Gasabo,Cassava,417899.4529030657,257910929.15498012,644
2020,Kigali City,Gasabo,Irish potatoes,1133067.1339033842,565033086.6769649,644
2020,Kigali City,Gasabo,Maize,394092.6974768985,269230764.1319552,644
2020,Kigali City,Gasabo,Tomatoes,304332.2218149193,231961125.46365735,644
2020,Kigali City,Kicukiro,Beans,241510.81731290877,149723538.08089995,647
2020,Kigali City,Kicukiro,Cassava,161643.84651795775,100096308.49546462,647
2020,Kigali City,Kicukiro,Irish potatoes,654030.8377424103,331886528.2557172,647
2020,Kigali City,Kicukiro,Maize,204636.1042944933,122071171.76093611,647
2020,Kigali City,Kicukiro,Tomatoes,160300.55415601222,119068763.64815262,647
2020,Kigali City,Nyarugenge,Beans,217786.4550402059,116374990.82314016,647
2020,Kigali City,Nyarugenge,Cassava,177780.2259569967,123110560.22847588,647
2020,Kigali City,Nyarugenge,Irish potatoes,550362.3252107397,275389573.5864235,647
2020,Kigali City,Nyarugenge,Maize,149723.2759379711,99082728.7509541,647
2020,Kigali City,Nyarugenge,Tomatoes,127292.30266048624,99022906.77731165,647
2020,Northern Province,Burera,Beans,314411.9595546127,226143343.2505891,486
2020,Northern Province,Burera,Cassava,282360.2290446576,139914478.9150507,486
2020,Northern Province,Burera,Irish potatoes,446908.1467490174,202047180.3400542,486
2020,Northern Province,Burera,Maize,208025.00883558558,105752417.80683854,486
2020,Northern Province,Burera,Tomatoes,85594.45821230437,50138424.98520614,486
2020,Northern Province,Gakenke,Beans,372978.30441274657,259376158.36613613,486
2020,Northern Province,Gakenke,Cassava,241323.55303902307,106637736.09166391,486
